date,text,hash_tags
2020-09-03,"Sleepy Joe Hiden’ was acknowledged by his own people to have done a terrible job on a much easier situation, H1N1 Swine Flu. The OBiden Administration failed badly on this, & now he sits back in his basement and criticizes every move we make on the China Virus. DOING GREAT JOB! Donald J. TrumpThank you Michele!1.31.96.4",
2020-09-04,"Great Jobs Numbers! 1.37 Million Jobs Added In August. Unemployment Rate Falls To 8.4% (Wow, much better than expected!). Broke the 10% level faster and deeper than thought possible.2.54.218.1",
2020-09-04,"I was never a big fan of John McCain, disagreed with him on many things including ridiculous endless wars and the lack of success he had in dealing with the VA and our great Vets, but the lowering of our Nations American Flags, and the first class funeral he was given by our....2.82.610.9",
2020-09-04,"The Atlantic Magazine is dying, like most magazines, so they make up a fake story in order to gain some relevance. Story already refuted, but this is what we are up against. Just like the Fake Dossier. You fight and and fight, and then people realize it was a total fraud!4.73.512.9",
2020-09-04,"....John a loser and swear on whatever, or whoever, I was asked to swear on, that I never called our great fallen soldiers anything other than HEROES. This is more made up Fake News given by disgusting & jealous failures in a disgraceful attempt to influence the 2020 Election!4.32.611.5",
2020-09-04,"..Country, had to be approved by me, as President, & I did so without hesitation  or complaint. Quite the contrary, I felt it was well deserved. I even sent Air Force One to bring his body, in casket, from Arizona to Washington. It was my honor to do so. Also, I never called..7.41.68.3",
2020-09-04,"Why aren’t the Portland Police ARRESTING the cold blooded killer of Aaron “Jay” Danielson. Do your job, and do it fast. Everybody knows who this thug is. No wonder Portland is going to hell! 2.53.313.9",
2020-09-04,"Do you notice that any time Fake News Suppression Polls are put out, like , the Stock Market goes DOWN. We are going to WIN!1.72.310.2",
2020-09-04,"Joe Hiden’ gets off his airplane, grabs and shakes a rather stunned man’s hand (like in the old days), then touches his (Joe’s) face and mask with the same hand. No crowd, no enthusiasm for Joe today. Law & Order!22.712.2",
2020-09-04,Crazy Nancy Pelosi said she was “set up” by the beauty parlor owner when she improperly had the salon opened (and didn’t wear a MASK!). Does anyone want a Speaker of the House who can be so easily SET UP?3.54.418.4,
2020-09-04,"Hearing that Iran is looking to execute a great and popular wrestling star, 27-year-old Navid Afkarai, whose sole act was an anti-government demonstration on the streets. They were protesting the “country’s worsening economic situation and inflation”...1.13.110.6",
2020-09-04,"Landing soon - see you in Latrobe, Pennsylvania. Speech will be broadcast on  and  at 6:45 P.M. Enjoy!7.51.26.8",
2020-09-04,". Polls are, as in the past, Fake News. They have been from the beginning, way off in 2016. Get a new pollster. I believe we are leading BIG!2.12.511.5",
2020-09-04,Nancy Pelosi says she got “set up” by a Beauty Parlor owner. Maybe the Beauty Parlor owner should be running the House of Representatives instead of Crazy Nancy?3.85.827.2,
2020-09-04,"THANK YOU LATROBE, PENNSYLVANIA! :40:20112.9 3:46Team Trump (Text VOTE to 88022)LIVE: President Donald Trump in Latrobe, PApscp.tv7.71.67.1",['#MAGA1']
2020-09-04,"...To the leaders of Iran, I would greatly appreciate if you would spare this young man’s life, and not execute him. Thank you! Iran imposes double execution on champion wrestler for peacefully protesting regimeCourts in the Iranian city of Shiraz slapped a champion wrestler with a shocking penalty of two death sentences and whipping for protesting in 2018 against the Islamic Republic of Iran’s disastrous...foxnews.com5.22.17",
2020-09-05,"You work so hard for the military, from completely rebuilding a depleted mess that was left by OBiden, to fixing a broken V.A. and fighting for large scale military pay raises, and then a slimeball reporter, maybe working with disgruntled people, makes up such a horrible charge..3.63.413.2",
2020-09-05,"....This reminds me of the Dirty Dossier, which was pushed hard by John McCain, & then with a thud turned out to be a total fraud. So many other scams also. The Radical Far Left is VICIOUS, they will do or say anything to win. But they won’t, we will WIN, & have four great years!1.32.18.9",
2020-09-05,"Letters from so many coaches, athletes and others pushed hard for this. I agree, has done so much for so many! Breitbart NewsPresident Donald Trump on Friday said that he would award the Presidential Medal of Freedom to legendary Notre Dame football coach Lou Holtz. https://trib.al/vUm6JHX4.914.5",
2020-09-05,"Great job , one of a kind! 8.61.37.3",
2020-09-05,"Jennifer Griffin of Fox News Did Not Confirm ‘Most Salacious‘ Part of Atlantic Story https://breitbart.com/2020-election/2020/09/04/jennifer-griffin-of-fox-news-did-not-confirm-most-salacious-part-of-atlantic-story/… via   All refuted by many witnesses. Jennifer Griffin should be fired for this kind of reporting. Never even called us for comment.  is gone!Jennifer Griffin of Fox News Did Not Confirm 'Most Salacious' Part of Atlantic StoryFox News' Jennifer Griffin reported she confirmed ""key parts"" of the Atlantic story, but could not confirm ""the most salacious"" part.breitbart.com2.72.45.8",
2020-09-05,"Exclusive: Nearly 700 U.S. Veterans Issue Open Letter in Support of Trump https://breitbart.com/politics/2020/09/04/exclusive-nearly-700-u-s-veterans-issue-open-letter-in-support-of-trump/… via  Thank you! As we get closer and closer to the November 3rd Election, and as my poll numbers rocket up, the attacks get more and more vicious. I love our HEROES!Exclusive: Nearly 700 U.S. Veterans Issue Open Letter in Support of TrumpNearly 700 American veterans have issued a letter affirming their support of Trump against establishment media attacks.breitbart.com1.82.36.9",
2020-09-05,"Trump Orders Purge of ‘Critical Race Theory‘ from Federal Agencies https://breitbart.com/tech/2020/09/04/partys-over-trump-orders-purge-of-critical-race-theory-from-federal-agencies/… via   This is a sickness that cannot be allowed to continue. Please report any sightings so we can quickly extinguish!Trump Orders Purge of 'Critical Race Theory' from Federal AgenciesPer President Trump, the White House OMB will move to identify and eliminate any trace of ""critical race theory"" in the federal government.breitbart.com1.53.39.5",
2020-09-05,Thank you Mark! MARK SIMONEI remember when President Trump met a veteran wounded so badly that he had no arms. The President reached out and touched his face so he would feel the human contact.     .92.410.7,"['#trump', '#MAGA', '#Veterans', '#VeteransForTrump5']"
2020-09-05,...to bringing prosperity and peace to the Balkans and the world. I am proud to have assisted these leaders!2.49.64.6,
2020-09-05,Another day everyone thought would be impossible! Congratulations to  Vucic of Serbia and PM  Hoti of Kosovo on committing to ! This is a major step forward...2.91.66.8,['#EconomicNormalization']
2020-09-05,The United States of America will NOT be cutting funding to  magazine under my watch. It will continue to be a wonderful source of information to our Great Military!2.83.313.2,
2020-09-05,Another great day for peace with Middle East – Muslim-majority Kosovo and Israel have agreed to normalize ties and establish diplomatic relations. Well-done! More Islamic and Arab nations will follow soon!1.24.217.2,
2020-09-05,Congratulations to  Vucic for announcing the move of Serbia’s Embassy to Jerusalem by July. It is a brave and historic move!3.11.66.9,
2020-09-05,"A GREAT HONOR, THANK YOU! National Fraternal Order of Police (FOP)  7.62.48.7",
2020-09-05,THANK YOU! .52.611.5,['#MAGA1']
2020-09-05,"Not any more! Ian Miles CheongCritical race theory is the greatest threat to western civilization and it’s made its way into the US federal government, the military, and the justice system.1.43.410.6",
2020-09-06,"....fix it, and fast. The current recipient has no chance, and won’t even try. As I have often said, Baltimore is last in everything, WHAT THE HELL DO YOU HAVE TO LOSE! Kimberly is fully Endorsed by me, something I do not do lightly. Take advantage of it and MAKE BALTIMORE GREAT!3.51.46.3",
2020-09-06,"Be smart Baltimore! You have been ripped off for years by the Democrats, & gotten nothing but poverty & crime. It will only get worse UNLESS YOU ELECT KIMBERLY KLACIK TO CONGRESS. She brings with her the power & ECONOMIC STRENGTH OF THE REPUBLICAN PARTY. She works sooo hard....6.7311.9",
2020-09-06,"....Baltimore will turn around, and I will help. Crime will go way down, money and jobs will pour in. Life will be MUCH better because Kimberly really cares. The Dems have had 100 years and they gave you nothing but heartache. Baltimore is the WORST IN NATION, Kimberly will..1.91.36.1",
2020-09-06,"The Democrats, together with the corrupt Fake News Media, have launched a massive Disinformation Campaign the likes of which has never been seen before. They will say anything, like their recent lies about me and the Military, and hope that it sticks... But  gets it!5.46.119.1",['#MAGA']
2020-09-06,"Steve Jobs would not be happy that his wife is wasting  money he left her on a failing Radical Left Magazine that is run by a con man (Goldberg) and spews FAKE NEWS & HATE. Call her, write her, let her know how you feel!!! Charlie KirkThe widow of Steve Jobs—Laurene Powell Jobs donated at least $500,000 to Joe Biden's campaign this year.Do you know who owns a majority stake in The Atlantic?Laurene Powell Jobs.3.838.7",
2020-09-06,Congratulations to the U.S. Marshals on a job well done in Portland. LAW & ORDER!1.4422.2,
2020-09-06,"Department of Education is looking at this. If so, they will not be funded! Ocitmancalifornia has implemented the 1619 project into the public schools. soon you wont recognize america1.63.18.7",
2020-09-06,"Wish I could join you, but totally focused on November 3rd. Thank you! .33.416.6",['#MAGA2']
2020-09-06,"Nancy Pelosi said she got “set up” by the owner (a very good one) of a beauty parlor. If so, how will she do in negotiations against President Xi of China, President Putin of Russia, or Kim Jong Un of North Korea. Not so well, I suspect, but far better than Joe Hiden’ would do!4.34.218.2",
2020-09-06,"The Democrats know that they are creating havoc on Election night. This is what they want. WE WILL WIN! Dan CrenshawUS House candidate, TX-2AG Barr calmly destroys the disingenuous questioning by Wolf Blitzer and then destroys the insane logic of universal mail-in voting.Truth and logic always win. twitter.com/dannydeurbina/…8.41.75.8",
2020-09-07,Our Economy and Jobs are doing really well. Next Year will be a Record Setter. Stay Tuned!3.13.619,
2020-09-07,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!4.72.711.6",
2020-09-07,"A massive Disinformation Campaign is going on by the Democrats, their partner, the Fake News Media, & Big Tech. They create false stories and then push them like has never been done before, even beyond the 2016 Campaign. It imperils our Country, and must stop now. Victory 2020!3.94.917.2",
2020-09-07,"Biden Underperforming!  What else is new, the story of his life.1.41.88.4",
2020-09-07,"Will be having a Labor Day News Conference today at the White House, 1:00 P.M. Jobs number, and the Economic comeback, are looking GREAT. Happy Labor Day!1.11.98.4",
2020-09-07,"Rochester N.Y., Brooklyn N.Y., Portland - All had bad nights, all weakly run by Radical Left Democrat Governors and Mayors! Get the picture?2.13.413.1",
2020-09-07,"Big Ten Football is looking really good, but may lose Michigan, Illinois, and Maryland because of those Governors’ ridiculous lack of interest or political support. They will play without them?2.32.412.3",
2020-09-07,These are the Democrats “peaceful protests”. Sick! Dan Scavino twitter.com/DanScavino/sta…1.53.913.6,
2020-09-08,"....And because of weak and pathetic Democrat leadership, this thuggery is happening in other Democrat run cities and states. Must shut them down fast. Biden and his most Liberal in Senate running mate, Kamala, won’t even talk about it. They won’t utter the words, LAW & ORDER!3.71.46",
2020-09-08,"The Real Polls are starting to look GREAT! We will be having an even bigger victory than that of 2016. The Radical Left Anarchists, Agitators, Looters, and just plain Lunatics, will not be happy, but they will behave!3417.5",
2020-09-08,"The wonderful Charles Payne  of  just wrote a great and inspirational new book, UNSTOPPABLE PROSPERITY. Get it NOW. So many important thoughts and suggestions on investing and “Making Money”. Also, Charles just happens to be a Great Guy!4.31.24.7",
2020-09-08,"The Democrats will open up their states on November 4th, the day after the Election. These shutdowns are ridiculous, and only being done to hurt the economy prior to the most important election, perhaps, in our history! .14.414.5",['#MAGA2']
2020-09-08,"Suburban voters are pouring into the Republican Party because of the violence in Democrat run cities and states. If Biden gets in, this violence is “coming to the Suburbs”, and FAST. You could say goodbye to your American Dream!3.83.813.7",
2020-09-08,"My Campaign spent a lot of money up front in order to compensate for the false reporting and Fake News concerning our handling of the China Virus. Now they see the GREAT job we have done, and we have 3 times more than we had 4 years ago - & are up in polls. Lots of $’s & ENERGY!1.71.98",
2020-09-08,"BLM Protesters horribly harass elderly Pittsburgh diners, scaring them with loud taunts while taking their food right off their plate. These Anarchists, not protesters, are Biden voters, but he has no control and nothing to say. Disgraceful. Never seen anything like it. Thugs!9.83.412.4",
2020-09-08,Great! Biden is finally being forced out of his basement. Now you’ll be able to see what is going on “up there”. He may do some “limited” campaigning. Basement Biden is no longer playing well in the Polls!1.329.5,
2020-09-08,"If Biden’s Polling wasn’t going down, and fast, he wouldn’t be going to Pittsburgh.11.910.4",
2020-09-08,"This guy is given the answer to questions, which he reads from his teleprompter. Is Donna  involved in this scam? Could you imagine if I got caught doing this. The media will never report this scam (FAKE) candidate. Sad! Stephen L. MillerWhat is going on? twitter.com/jacobkschneide…5.71.75.7",
2020-09-08,New York City must stop the Shutdown now. The Governor & Mayor are destroying the place!2.4522.4,
2020-09-08,"Congratulations to Dustin Johnson  on not only a great winning streak and golf season, but on capping it off with a fantastic  Tour Championship and becoming the 2020 FEDEXCUP Champion. Dustin is a true WINNER in so many ways!4.39.86.2",
2020-09-08,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!2.42.110.3",
2020-09-08,"Biggest & Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!22.812",
2020-09-08,Great job Erin. Just a 4 year continuation of the Great American Hoax! TV News HQ3.78.83,
2020-09-08,"The Fake News knows that Sleepy Joe doesn’t have a clue, and they want to protect his Radical Left Democrat enablers. He is so bad for the USA! TV News HQ6.11.13.5",
2020-09-08,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump https://breitbart.com/politics/2020/09/07/exclusive-zach-fuentes-top-aide-to-john-kelly-denies-atlantic-story-about-trump/… via  Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About TrumpFormer Deputy White House Chief of Staff Zach Fuentes denied to Breitbart News The Atlantic’s account of President Donald Trump’s comments about troops.breitbart.com1.11.54.4",
2020-09-08,". IS FAKE NEWS, and all smart people know that! TV News HQFox News and MSNBC are carrying President Trump’s news conference live while CNN is in normal programming, despite previously covering Joe Biden’s news conferences live in full.  1.31.86.7",
2020-09-09,". will be talking about the big North Carolina Rally tonight. Great crowd! Also, congratulations to Sean,  and  on the Great Ratings!8.21.47",
2020-09-09,"The United States Navy, or the Department of Defense, will NOT be cancelling its contract with Catholic Priests who serve our men and women in the Armed Forces so well, and with such great compassion & skill. This will no longer be even a point of discussion! 1.12.811",
2020-09-09,"We will be substantially LOWERING Medicare Premiums and Prescription Drug Prices, bringing them down to levels that were not thought possible!3.14.921.4",
2020-09-09,"Trump nominated for Nobel Peace Prize following Israel-UAE accord https://nypost.com/2020/09/09/trump-nominated-for-nobel-peace-prize-by-norwegian-official/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons… via Trump nominated for Nobel Peace Prize following Israel-UAE accordPresident Trump has been nominated for the Nobel Peace Prize for helping broker a peace deal between Israel and the United Arab Emirates, according to a report. Christian Tybring-Gjedde, a member ofnypost.com1.52.611.1",
2020-09-09,"A FAKE story made up by the Democrats in order to save Biden’s failing campaign. Thanks Zach! Andrew SurabianBREAKING: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trumphttps://breitbart.com/politics/2020/09/07/exclusive-zach-fuentes-top-aide-to-john-kelly-denies-atlantic-story-about-trump/…5.41.24.8",
2020-09-09,Sleepy Joe Biden has pledged to ABOLISH Suburban Communites as they currently exist by reinstating Obama’s radical AFFH Regulation. There goes Suburbia!2.5310.7,
2020-09-09,"Just left Florida, see everyone tonight in North Carolina!  Congressman Dan BishopUS House candidate, NC-93.49.34.3",['#MAGA트윗']
2020-09-09,"Democrats admit that President Trump’s message is “working” on violence coming to the Suburbs in a Looney Biden Administration. Plus, Biden just doubled down on forcing Federal control of local zoning. This means low income housing and projects. So much for the American Dream!1.11.65.6",
2020-09-09,"Because of the China Virus, my Campaign, which has raised a lot of money, was forced to spend in order to counter the Fake News reporting about the way we handled it (China Ban, etc.). We did, and are doing, a GREAT job, and have a lot of money left over, much more than 2016....1.72.29.6",
2020-09-09,"They are not “peaceful protesters”, as Sleepy Joe and the Democrats call them, they are THUGS - And it is all taking place in Democrat run cities. Call me and request Federal HELP. We will solve your problems in a matter of minutes - And thanks to the U.S. Marshalls in Portland!1.83.512.9",
2020-09-09,"....Like I did in the 2016 Primaries, if more money is needed, which I doubt it will be, I will put it up!61.15.3",
2020-09-09,"Police Chief, and most of the police in Rochester, N.Y., have resigned. The Democrat Mayor and, of courses, Governor Cuomo, have no idea what to do. New York State is a mess - No Money, High Taxes & Crime, Everyone Fleeing. November 3rd. We can fix it!2.64.716.5",
2020-09-10,"Obama is lucky he ran against , a man with very little talent or political skill, as opposed to someone who knows how to fight and win!2.52.410.6",
2020-09-10,"No, Vindman knew the call itself to the Ukrainian President was “perfect”, but also knew the whistleblower report described the call incorrectly, way off. Why didn’t Vindman say so? That’s why Shifty didn’t want the whistleblower to testify. A big scam! Byron YorkA lot of you have criticized Vindman's actions in Ukraine matter. That's fair. Many Hill Republicans saw him as starting the whole saga over a policy disagreement. But Vindman was also a decorated military officer. A big dilemma for GOP. From OBSESSION: https://amazon.com/Obsession-Inside-Washington-Establishments-Never-Ending/dp/1684511062/ref=sr_1_1?dchild=1&keywords=byron+york+obsession&qid=1599589216&sr=8-1…3.88.32.4",
2020-09-10,"Democrats, OPEN THE SCHOOLS ( SAFELY), NOW! When schools are closed, let the money follow the child (FAMILY). Why should schools be paid when they are closed? They shouldn’t!3.34.216.5",
2020-09-10,"Bob Woodward had my quotes for many months. If he thought they were so bad or dangerous, why didn’t he immediately report them in an effort to save lives? Didn’t he have an obligation to do so? No, because he knew they were good and proper answers. Calm, no panic!5.83.912.6",
2020-09-10,"Fake News is at it again! They will take any statement from me, no matter how proper or well delivered, &  systematically, in complete conjunction with all of their allies, dismantle it. With Biden, they only give him softballs, and let him read the answers from a teleprompter!1.52.28.6",
2020-09-10,"For years Fake stories and investigations, then the phony Russia, Russia, Russia HOAX, next Ukraine and the failed Impeachment, now the crummy Atlantic Magazine’s MADE UP STORY, and lastly, the political hit job by rapidly fading Bob Woodward and his boring book. It never ends!5.13.211.4",
2020-09-10,New Mexico will only be GREAT with President Trump. We will win! Steve PearceGov. Lujan Grisham glossed over her business-shattering lockdown and energy plan that would cripple our state’s economy in her DNC speech showing yet again that her priorities are on her own political future and not on New Mexico. https://kob.com/new-mexico-news/governor-reflects-on-dnc-speech-dispels-rumors-about-vp-speculation/5834320/?cat=500…5.613.6,
2020-09-10,Sending out 80 MILLION BALLOTS to people who aren’t even asking for a Ballot is unfair and a total fraud in the making. Look at what’s going on right now!239.8,
2020-09-10,"Now  is putting on yet another loser, Jamie Weinstein, into their stable of Trump haters. People who failed for many years are now going on Fox to explain “Trump”. Schumer puppet Chris Hahn and his twin brother, Richard Goodstein, together with cheater Donna Brazil. Bad!6.51.44.8",
2020-09-10,Will be interviewed by  on  - NOW!8.78.75.9,
2020-09-10,"The Democrats never even mentioned the words LAW & ORDER at their National Convention. That’s where they are coming from. If I don’t win, America’s Suburbs will be OVERRUN with Low Income Projects, Anarchists, Agitators, Looters and, of course, “Friendly Protesters”.5.33.29.2",
2020-09-10,"New York City indoor dining to reopen on September 30, at 25% capacity. A step in the right direction, but should go faster!8.91.26.6",
2020-09-10,“Comey is a disgraced lier & leaker. Two years wasted on the Russia Witch Hunt was in large part because of his failings as Director of the FBI. They refused to support the results of the 2016 Election. Part of the biggest political scandal we have ever seen.” 1.11.55.1,
2020-09-10,"Governor Cuomo has completely lost control. Sad! Candice GioveEvery day 1,000 people leave the tri-state area for FLORIDA. New York comes in LAST for population growth. https://dailymail.co.uk/news/article-8706685/Almost-1-000-people-Florida-day-coming-Northern-cities-amid-pandemic.html…4.113.6",
2020-09-10,"...I’ll take the Endorsement of Law Enforcement all over the Country, and Joe can have the RINO’S. This Snyder mess was made during the OBiden era - no wonder they’re friends!314.3",
2020-09-10,"...If in doubt, ask why the bill withholds $12 billion in highway funds until local authorities agree to federal control? I will protect the suburbs. Biden will destroy the suburbs!4.31.24.5",
2020-09-10,...These are horrendous people that we must defeat on November 3rd!7.81.46,
2020-09-10,"...Secret Service would not allow the trip to the cemetery based on very bad weather and security concerns. Now these low-life Biden handlers are making commercials of this fictional statement, with no proof, and think they can get away with it...7.51.15.1",
2020-09-10,Fake News asks why I bring up Booker. It’s because Biden supports Booker’s bill that forces federal control of local zoning and low income housing in suburbs...7.81.97,
2020-09-10,"On top of a lie made up by a low-life “reporter”, who is known for disinformation, the Democrats have taken his false words and put them into a TV commercial. We now have 21 witnesses stating that the story is a BIG LIE. Even Biden admits this may not be true...1.92.49",
2020-09-10,"The failed former Governor of Michigan, RINO Rick Snyder, who was responsible for the Flint Water Disaster (and I let him know it!), is now endorsing Sleepy Joe Biden, who doesn’t have a clue! Snyder, whose political career was ruined by Flint, hurt a lot of people in Michigan...7.41.86.3",
2020-09-10,"...Secret Service would not allow the trip to the cemetery based on very bad weather and security concerns. Now these low-life Biden handlers are making commercials of this fictional statement, with no proof, and think they can get away with it...7.51.15.1",
2020-09-10,You don’t want to miss ’s segment with . Thank you!100.1 0:03 / 7:20Team Trump (Text VOTE to 88022) 7.81.23.4,
2020-09-10,I will be announcing a list of future potential Supreme Court Justices at 3:30 P.M. Eastern from the Diplomatic Reception Room of the White House.2.62.511.3,
2020-09-10,"These are my real words about our GREAT HEROES, not made up lies by the enemy. THANK YOU and God Bless You All!3.43.69.1",
